"Job","Salary","Requirements(The dash(-) means or)"
"Atmospheric earth marine and space sciences teachers postsecondary","$95,900","Master's Degree: Astronomy - Astrophysics - Atmospheric Chemistry and Climatology - Atmospheric Physics and Dynamics - Atmospheric Sciences and Meteorology, General - Atmospheric Sciences and Meteorology, Other - Earth Science Teacher Education - Geochemistry and Petrology - Geochemistry - Geological and Earth Sciences/Geosciences, Other - Geology/Earth Science, General - Geophysics and Seismology - Hydrology and Water Resources Science - Meteorology - Oceanography, Chemical and Physical - Paleontology - Planetary Astronomy and Science - Science Teacher Education/General Science Teacher Education -"
"Biological science teachers postsecondary","$90,420","Doctoral Degree: Aerospace Physiology and Medicine - Anatomy - Animal Physiology - Biochemistry and Molecular Biology - Biochemistry, Biophysics and Molecular Biology, Other - Biochemistry - Biological and Biomedical Sciences, Other - Biology Teacher Education - Biology/Biological Sciences, General - Biomathematics, Bioinformatics, and Computational Biology, Other - Biometry/Biometrics - Biophysics - Biotechnology - Botany/Plant Biology, Other - Botany/Plant Biology - Cell/Cellular Biology and Anatomical Sciences, Other - Cell/Cellular Biology and Histology - Computational Biology - Ecology and Evolutionary Biology - Ecology, Evolution, Systematics and Population Biology, Other - Ecology - Entomology - Evolutionary Biology - Genetics, Other - Genome Sciences/Genomics - Human Biology - Immunology - Marine Biology and Biological Oceanography - Microbiological Sciences and Immunology, Other - Microbiology and Immunology - Microbiology, General - Molecular Biology - Molecular Genetics - Molecular Medicine - Neuroanatomy - Neurobiology and Anatomy - Neurobiology and Behavior - Neurobiology and Neurosciences, Other - Neuroscience - Nutrition Sciences - Parasitology - Pathology/Experimental Pathology - Pharmacology - Plant Genetics - Plant Pathology/Phytopathology - Plant Physiology - Radiation Biology/Radiobiology - Science Teacher Education/General Science Teacher Education - Toxicology - Virology - Zoology/Animal Biology, Other - Zoology/Animal Biology -"
"Business teachers postsecondary","$96,770","Doctoral Degree: Accounting - Actuarial Science - Business Administration and Management, General - Business Statistics - Business Teacher Education - Business/Commerce, General - Business/Corporate Communications - Entrepreneurship/Entrepreneurial Studies - Finance, General - Financial Planning and Services - Franchising and Franchise Operations - Hotel, Motel, and Restaurant Management - Human Resources Management/Personnel Administration, General - Insurance - International Business/Trade/Commerce - International Finance - International Marketing - Investments and Securities - Labor and Industrial Relations - Logistics, Materials, and Supply Chain Management - Management Science - Marketing Research - Marketing/Marketing Management, General - Operations Management and Supervision - Organizational Behavior Studies - Organizational Leadership - Project Management - Public Finance - Purchasing, Procurement/Acquisitions and Contracts Management - Research and Development Management - Retail Management - Sales and Marketing Operations/Marketing and Distribution Teacher Education - Telecommunications Management -"
"Chemistry teachers postsecondary","$89,320","Master's Degree: Analytical Chemistry - Chemical Physics - Chemistry Teacher Education - Chemistry, General - Chemistry, Other - Environmental Chemistry - Forensic Chemistry - Geochemistry - Inorganic Chemistry - Materials Chemistry - Organic Chemistry - Physical Chemistry - Polymer Chemistry - Science Teacher Education/General Science Teacher Education - Theoretical Chemistry -"
"Communications teachers postsecondary","$74,360","Master's Degree: Advertising - Broadcast Journalism - Communication, General - Communication, Journalism, and Related Programs, Other - Digital Communication and Media/Multimedia - Documentary Production - Health Communication - International and Intercultural Communication - Journalism, Other - Journalism - Mass Communication/Media Studies - Political Communication - Public Relations, Advertising, and Applied Communication - Public Relations/Image Management - Radio and Television - Speech Communication and Rhetoric - Sports Communication - Technical and Scientific Communication -"
"Computer science teachers postsecondary","$89,670","Master's Degree: Computer and Information Sciences, General - Computer Programming/Programmer, General - Computer Science - Computer Systems Analysis/Analyst - Computer Teacher Education - Information Science/Studies -"
"Criminal justice and law enforcement teachers postsecondary","$67,040","Master's Degree: Corrections Administration - Corrections and Criminal Justice, Other - Corrections - Criminal Justice/Law Enforcement Administration - Criminal Justice/Police Science - Criminal Justice/Safety Studies - Criminalistics and Criminal Science - Critical Incident Response/Special Police Operations - Cultural/Archaelogical Resources Protection - Cyber/Computer Forensics and Counterterrorism - Financial Forensics and Fraud Investigation - Forensic Science and Technology - Juvenile Corrections - Law Enforcement Intelligence Analysis - Law Enforcement Investigation and Interviewing - Law Enforcement Record-Keeping and Evidence Management - Maritime Law Enforcement - Protective Services Operations - Security and Loss Prevention Services - Suspension and Debarment Investigation - Terrorism and Counterterrorism Operations -"
"Curators","$58,910","Master's Degree: Art History, Criticism and Conservation - Museology/Museum Studies - Public/Applied History -"
"Economics teachers postsecondary","$111,520","Doctoral Degree: Applied Economics - Business/Managerial Economics - Development Economics and International Development - Econometrics and Quantitative Economics - Economics, General - Economics, Other - International Economics - Political Economy - Social Science Teacher Education -"
"Education teachers postsecondary","$70,260","Doctoral Degree: Agricultural Teacher Education - Art Teacher Education - Biology Teacher Education - Business Teacher Education - Chemistry Teacher Education - Computer Teacher Education - Drama and Dance Teacher Education - Driver and Safety Teacher Education - Earth Science Teacher Education - Education Policy Analysis - Education, General - English/Language Arts Teacher Education - Family and Consumer Sciences/Home Economics Teacher Education - Foreign Language Teacher Education - French Language Teacher Education - Geography Teacher Education - German Language Teacher Education - Health Teacher Education - History Teacher Education - Learning Sciences - Mathematics Teacher Education - Music Teacher Education - Physical Education Teaching and Coaching - Physics Teacher Education - Reading Teacher Education - Sales and Marketing Operations/Marketing and Distribution Teacher Education - Science Teacher Education/General Science Teacher Education - Social Science Teacher Education - Social Studies Teacher Education - Spanish Language Teacher Education - Speech Teacher Education - Technical Teacher Education - Technology Teacher Education/Industrial Arts Teacher Education - Trade and Industrial Teacher Education -"
"Elementary school teachers except special education","$59,020","Bachelor's Degree: Bilingual and Multilingual Education - Elementary Education and Teaching - Environmental Education - Teacher Education, Multiple Levels - Teaching English as a Second or Foreign Language/ESL Language Instructor -"
"Engineering teachers postsecondary","$107,490","Doctoral Degree: Aerospace, Aeronautical and Astronautical/Space Engineering - Agricultural Engineering - Architectural Engineering - Biochemical Engineering - Bioengineering and Biomedical Engineering - Biological/Biosystems Engineering - Ceramic Sciences and Engineering - Chemical and Biomolecular Engineering - Chemical Engineering, Other - Chemical Engineering - Civil Engineering, General - Civil Engineering, Other - Computer Engineering, General - Computer Engineering, Other - Computer Hardware Engineering - Computer Software Engineering - Construction Engineering - Electrical and Electronics Engineering - Electrical, Electronics and Communications Engineering, Other - Electromechanical Engineering - Engineering Chemistry - Engineering Design - Engineering Mechanics - Engineering Physics/Applied Physics - Engineering Science - Engineering, General - Engineering, Other - Environmental/Environmental Health Engineering - Forest Engineering - Geological/Geophysical Engineering - Geotechnical and Geoenvironmental Engineering - Industrial Engineering - Laser and Optical Engineering - Manufacturing Engineering - Materials Engineering - Materials Science - Mechanical Engineering - Mechatronics, Robotics, and Automation Engineering - Metallurgical Engineering - Mining and Mineral Engineering - Naval Architecture and Marine Engineering - Nuclear Engineering - Ocean Engineering - Packaging Science - Paper Science and Engineering - Petroleum Engineering - Polymer/Plastics Engineering - Structural Engineering - Surveying Engineering - Systems Engineering - Telecommunications Engineering - Textile Sciences and Engineering - Transportation and Highway Engineering - Water Resources Engineering -"
"English language and literature teachers postsecondary","$76,140","Doctoral Degree: American Literature (Canadian) - American Literature (United States) - Children's and Adolescent Literature - Comparative Literature - Creative Writing - English Language and Literature, General - English Language and Literature/Letters, Other - English Literature (British and Commonwealth) - English/Language Arts Teacher Education - General Literature - Literature, Other - Professional, Technical, Business, and Scientific Writing - Rhetoric and Composition - Rhetoric and Composition/Writing Studies, Other - Writing, General -"
"Environmental science teachers postsecondary","$88,880","Doctoral Degree: Environmental Chemistry - Environmental Science - Environmental Studies - Science Teacher Education/General Science Teacher Education -"
"Foreign language and literature teachers postsecondary","$73,750","Doctoral Degree: African Languages, Literatures, and Linguistics - Albanian Language and Literature - American Indian/Native American Languages, Literatures, and Linguistics - Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics - Ancient/Classical Greek Language and Literature - Applied Linguistics - Arabic Language and Literature - Australian/Oceanic/Pacific Languages, Literatures, and Linguistics - Baltic Languages, Literatures, and Linguistics - Bengali Language and Literature - Bosnian, Serbian, and Croatian Languages and Literatures - Bulgarian Language and Literature - Burmese Language and Literature - Catalan Language and Literature - Celtic Languages, Literatures, and Linguistics - Chinese Language and Literature - Classics and Classical Languages, Literatures, and Linguistics, General - Classics and Classical Languages, Literatures, and Linguistics, Other - Czech Language and Literature - Danish Language and Literature - Dutch/Flemish Language and Literature - East Asian Languages, Literatures, and Linguistics, General - East Asian Languages, Literatures, and Linguistics, Other - Filipino/Tagalog Language and Literature - Foreign Language Teacher Education - Foreign Languages and Literatures, General - Foreign Languages, Literatures, and Linguistics, Other - French Language and Literature - French Language Teacher Education - German Language and Literature - German Language Teacher Education - Germanic Languages, Literatures, and Linguistics, General - Germanic Languages, Literatures, and Linguistics, Other - Hebrew Language and Literature - Hindi Language and Literature - Hispanic and Latin American Languages, Literatures, and Linguistics, General - Hungarian/Magyar Language and Literature - Indonesian/Malay Languages and Literatures - Iranian Languages, Literatures, and Linguistics - Italian Language and Literature - Japanese Language and Literature - Khmer/Cambodian Language and Literature - Korean Language and Literature - Language Interpretation and Translation - Lao Language and Literature - Latin Language and Literature - Latin Teacher Education - Linguistics - Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General - Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other - Modern Greek Language and Literature - Mongolian Language and Literature - Norwegian Language and Literature - Polish Language and Literature - Portuguese Language and Literature - Punjabi Language and Literature - Romance Languages, Literatures, and Linguistics, General - Romance Languages, Literatures, and Linguistics, Other - Romanian Language and Literature - Russian Language and Literature - Sanskrit and Classical Indian Languages, Literatures, and Linguistics - Scandinavian Languages, Literatures, and Linguistics - Slavic Languages, Literatures, and Linguistics, General - Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other - Slovak Language and Literature - South Asian Languages, Literatures, and Linguistics, General - South Asian Languages, Literatures, and Linguistics, Other - Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other - Southeast Asian Languages, Literatures, and Linguistics, General - Spanish Language and Literature - Spanish Language Teacher Education - Swedish Language and Literature - Tamil Language and Literature - Thai Language and Literature - Tibetan Language and Literature - Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other - Turkish Language and Literature - Ukrainian Language and Literature - Uralic Languages, Literatures, and Linguistics - Urdu Language and Literature - Vietnamese Language and Literature -"
"Forestry and conservation science teachers postsecondary","$90,480","Doctoral Degree: Agroecology and Sustainable Agriculture - Forest Management/Forest Resources Management - Forest Resources Production and Management - Forest Sciences and Biology - Forestry, General - Forestry, Other - Land Use Planning and Management/Development - Natural Resources and Conservation, Other - Natural Resources Management and Policy, Other - Natural Resources Management and Policy - Natural Resources/Conservation, General - Range Science and Management - Science Teacher Education/General Science Teacher Education - Urban Forestry - Water, Wetlands, and Marine Resources Management - Wildlife, Fish and Wildlands Science and Management - Wood Science and Wood Products/Pulp and Paper Technology -"
"Geography teachers postsecondary","$84,660","Doctoral Degree: Geographic Information Science and Cartography - Geography Teacher Education - Geography, Other - Geography -"
"Health specialties teachers postsecondary","$125,430","Master's Degree: Animal-Assisted Therapy - Art Therapy/Therapist - Asian Bodywork Therapy - Audiology/Audiologist and Speech-Language Pathology/Pathologist - Audiology/Audiologist - Behavioral Aspects of Health - Biostatistics - Blood Bank Technology Specialist - Cardiovascular Technology/Technologist - Chiropractic - Clinical Laboratory Science/Medical Technology/Technologist - Clinical/Medical Laboratory Assistant - Clinical/Medical Laboratory Technician - Communication Sciences and Disorders, General - Cytotechnology/Cytotechnologist - Dance Therapy/Therapist - Dental Assisting/Assistant - Dental Clinical Sciences, General - Dental Hygiene/Hygienist - Dental Laboratory Technology/Technician - Dentistry - Diagnostic Medical Sonography/Sonographer and Ultrasound Technician - Electrocardiograph Technology/Technician - Electroneurodiagnostic/Electroencephalographic Technology/Technologist - Emergency Medical Technology/Technician (EMT Paramedic) - Environmental Health - Epidemiology - Health Occupations Teacher Education - Health Policy Analysis - Health/Medical Physics - Hematology Technology/Technician - Hypnotherapy/Hypnotherapist - Massage Therapy/Therapeutic Massage - Medical Radiologic Technology/Science - Radiation Therapist - Music Therapy/Therapist - Nuclear Medical Technology/Technologist - Occupational Health and Industrial Hygiene - Occupational Therapist Assistant - Occupational Therapy/Therapist - Orthotist/Prosthetist - Perfusion Technology/Perfusionist - Pharmacology and Toxicology, Other - Pharmacy Administration and Pharmacy Policy and Regulatory Affairs - Pharmacy Technician/Assistant - Pharmacy, Pharmaceutical Sciences, and Administration, Other - Pharmacy - Physical Therapy/Therapist - Physician Assistant - Physiology, Pathology, and Related Sciences, Other - Public Health Education and Promotion - Public Health, General - Rehabilitation Science - Respiratory Care Therapy/Therapist - Speech-Language Pathology/Pathologist - Surgical Technology/Technologist - Therapeutic Recreation/Recreational Therapy - Veterinary Medicine - Veterinary Sciences/Veterinary Clinical Sciences, General - Veterinary/Animal Health Technology/Technician and Veterinary Assistant - Vocational Rehabilitation Counseling/Counselor -"
"History teachers postsecondary","$80,880","Doctoral Degree: American History (United States) - Asian History - Canadian History - European History - History and Philosophy of Science and Technology - History Teacher Education - History, General - History, Other - Military History - Public/Applied History -"
"Instructional coordinators","$65,500","Master's Degree: Curriculum and Instruction - Educational/Instructional Technology -"
"Kindergarten teachers except special education","$55,460","Bachelor's Degree: Bilingual and Multilingual Education - Early Childhood Education and Teaching - Kindergarten/Preschool Education and Teaching - Teaching English as a Second or Foreign Language/ESL Language Instructor -"
"Law teachers postsecondary","$134,530","First Professional Degree: Intellectual Property Law - Law - Legal Studies, General -"
"Library science teachers postsecondary","$72,340","Doctoral Degree: Children and Youth Library Services - Library and Information Science -"
"Library technicians","$34,780","Bachelor's Degree: Library and Archives Assisting -"
"Mathematical science teachers postsecondary","$82,650","Master's Degree: Algebra and Number Theory - Analysis and Functional Analysis - Applied Mathematics, General - Applied Mathematics, Other - Business Statistics - Computational and Applied Mathematics - Financial Mathematics - Geometry/Geometric Analysis - Logic - Mathematical Biology - Mathematical Statistics and Probability - Mathematics and Statistics, Other - Mathematics and Statistics - Mathematics Teacher Education - Mathematics, General - Mathematics, Other - Statistics, General - Statistics, Other - Topology and Foundations -"
"Museum technicians and conservators","$44,780","Master's Degree: Art History, Criticism and Conservation - Museology/Museum Studies - Public/Applied History -"
"Nursing instructors and teachers postsecondary","$75,030","Master's Degree: Adult Health Nurse/Nursing - Clinical Nurse Specialist - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nurse Anesthetist - Nurse Midwife/Nursing Midwifery - Nursing Education - Nursing Science - Palliative Care Nursing - Pediatric Nurse/Nursing - Perioperative/Operating Room and Surgical Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Public Health/Community Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Registered Nursing/Registered Nurse - Women's Health Nurse/Nursing -"
"Philosophy and religion teachers postsecondary","$77,420","Doctoral Degree: Applied and Professional Ethics - Bible/Biblical Studies - Buddhist Studies - Christian Studies - Divinity/Ministry - Ethics - Hindu Studies - Missions/Missionary Studies and Missiology - Pastoral Studies/Counseling - Philosophy and Religious Studies, General - Philosophy and Religious Studies, Other - Philosophy, Other - Philosophy - Pre-Theology/Pre-Ministerial Studies - Rabbinical Studies - Religion/Religious Studies - Religious Education - Religious/Sacred Music - Talmudic Studies - Theological and Ministerial Studies, Other - Theology/Theological Studies -"
"Physics teachers postsecondary","$97,520","Doctoral Degree: Acoustics - Astronomy and Astrophysics, Other - Atomic/Molecular Physics - Chemical Physics - Condensed Matter and Materials Physics - Elementary Particle Physics - Nuclear Physics - Optics/Optical Sciences - Physics Teacher Education - Physics, General - Physics, Other - Plasma and High-Temperature Physics - Science Teacher Education/General Science Teacher Education - Theoretical and Mathematical Physics -"
"Political science teachers postsecondary","$94,090","Doctoral Degree: American Government and Politics (United States) - Education Policy Analysis - International Policy Analysis - International Relations and Affairs - International Relations and National Security Studies, Other - National Security Policy Studies - Political Economy - Political Science and Government, General - Political Science and Government, Other - Public Policy Analysis, General - Social Science Teacher Education -"
"Postsecondary teachers all other","$73,990","any: Computational Science - Creative Writing - Culinary Science/Culinology - Cultural Studies/Critical Theory and Analysis - Game and Interactive Media Design - General Studies - Humanities/Humanistic Studies - Liberal Arts and Sciences/Liberal Studies - Linguistics of ASL and Other Sign Languages - Marine Sciences - Maritime Studies - Materials Sciences, Other - Packaging Science - Physical Sciences, Other - Professional, Technical, Business, and Scientific Writing - Rhetoric and Composition - Sustainability Studies - Terrorism and Counterterrorism Operations - Writing, General -"
"Preschool teachers except special education","$33,300","High School Diploma: Child Care and Support Services Management - Early Childhood Education and Teaching - Kindergarten/Preschool Education and Teaching -"
"Psychology teachers postsecondary","$84,440","Doctoral Degree: Applied Behavior Analysis - Applied Psychology - Clinical Psychology - Clinical, Counseling and Applied Psychology, Other - Cognitive Psychology and Psycholinguistics - Community Psychology - Comparative Psychology - Counseling Psychology - Developmental and Child Psychology - Educational Psychology - Experimental Psychology - Industrial and Organizational Psychology - Marriage and Family Therapy/Counseling - Personality Psychology - Physiological Psychology/Psychobiology - Psychology, General - Psychology, Other - Psychometrics and Quantitative Psychology - Research and Experimental Psychology, Other - School Psychology - Social Psychology - Social Science Teacher Education -"
"Recreation and fitness studies teachers postsecondary","$67,870","Doctoral Degree: Health and Physical Education/Fitness, General - Parks, Recreation and Leisure Studies - Physical Education Teaching and Coaching - Sport and Fitness Administration/Management - Sports Studies -"
"Social sciences teachers postsecondary all other","$85,950","any: City/Urban, Community and Regional Planning - Human Biology - Learning Sciences - Real Estate Development - Research Methodology and Quantitative Methods - Rural Sociology - Social Science Teacher Education - Social Sciences, General - Urban Studies/Affairs -"
"Social work teachers postsecondary","$74,280","Doctoral Degree: Clinical/Medical Social Work - Social Work, Other - Social Work -"
"Sociology teachers postsecondary","$81,600","Doctoral Degree: Rural Sociology - Social Science Teacher Education - Sociology and Anthropology - Sociology -"
"Special education teachers all other","$59,450","any: Education/Teaching of Individuals Who are Developmentally Delayed - Education/Teaching of Individuals with Autism - Education/Teaching of Individuals with Emotional Disturbances - Education/Teaching of Individuals with Hearing Impairments Including Deafness - Education/Teaching of Individuals with Mental Retardation - Education/Teaching of Individuals with Multiple Disabilities - Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments - Education/Teaching of Individuals with Specific Learning Disabilities - Education/Teaching of Individuals with Speech or Language Impairments - Education/Teaching of Individuals with Traumatic Brain Injuries - Education/Teaching of Individuals with Vision Impairments Including Blindness - Special Education and Teaching, General - Special Education and Teaching, Other -"
"Special education teachers middle school","$61,280","Master's Degree: Education/Teaching of Individuals in Early Childhood Special Education Programs - Education/Teaching of Individuals in Elementary Special Education Programs - Education/Teaching of Individuals in Junior High/Middle School Special Education Programs - Education/Teaching of Individuals in Secondary Special Education Programs - Education/Teaching of Individuals Who are Developmentally Delayed - Education/Teaching of Individuals with Autism - Education/Teaching of Individuals with Emotional Disturbances - Education/Teaching of Individuals with Hearing Impairments Including Deafness - Education/Teaching of Individuals with Mental Retardation - Education/Teaching of Individuals with Multiple Disabilities - Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments - Education/Teaching of Individuals with Specific Learning Disabilities - Education/Teaching of Individuals with Speech or Language Impairments - Education/Teaching of Individuals with Traumatic Brain Injuries - Education/Teaching of Individuals with Vision Impairments Including Blindness - Special Education and Teaching, General - Special Education and Teaching, Other -"
"Special education teachers preschool","$56,990","Bachelor's Degree: Education/Teaching of Individuals in Early Childhood Special Education Programs - Education/Teaching of Individuals Who are Developmentally Delayed - Education/Teaching of Individuals with Autism - Education/Teaching of Individuals with Emotional Disturbances - Education/Teaching of Individuals with Hearing Impairments Including Deafness - Education/Teaching of Individuals with Mental Retardation - Education/Teaching of Individuals with Multiple Disabilities - Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments - Education/Teaching of Individuals with Specific Learning Disabilities - Education/Teaching of Individuals with Speech or Language Impairments - Education/Teaching of Individuals with Traumatic Brain Injuries - Education/Teaching of Individuals with Vision Impairments Including Blindness - Special Education and Teaching, General -"
"Special education teachers secondary school","$61,280","Bachelor's Degree: Education/Teaching of Individuals in Early Childhood Special Education Programs - Education/Teaching of Individuals in Elementary Special Education Programs - Education/Teaching of Individuals in Junior High/Middle School Special Education Programs - Education/Teaching of Individuals in Secondary Special Education Programs - Education/Teaching of Individuals Who are Developmentally Delayed - Education/Teaching of Individuals with Autism - Education/Teaching of Individuals with Emotional Disturbances - Education/Teaching of Individuals with Hearing Impairments Including Deafness - Education/Teaching of Individuals with Mental Retardation - Education/Teaching of Individuals with Multiple Disabilities - Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments - Education/Teaching of Individuals with Specific Learning Disabilities - Education/Teaching of Individuals with Speech or Language Impairments - Education/Teaching of Individuals with Traumatic Brain Injuries - Education/Teaching of Individuals with Vision Impairments Including Blindness - Special Education and Teaching, General - Special Education and Teaching, Other -"
"Teachers and instructors all other","$36,310","any: Bilingual and Multilingual Education - Driver and Safety Teacher Education - Indian/Native American Education - Montessori Teacher Education - Multicultural Education - Waldorf/Steiner Teacher Education -"
"Agricultural equipment operators","$30,430","Some High School: Agricultural Power Machinery Operation -"
"Agricultural inspectors","$44,260","High School Diploma: Agricultural and Food Products Processing -"
"Agricultural workers all other","$35,120","any: Agricultural Inspectors - Animal Breeders - Graders and Sorters, Agricultural Products - Agricultural Equipment Operators - Farmworkers and Laborers, Crop, Nursery, and Greenhouse - Farmworkers, Farm, Ranch, and Aquacultural Animals -"
"Animal breeders","$42,340","High School Diploma: Animal/Livestock Husbandry and Production - Horse Husbandry/Equine Science and Management -"
"Fallers","$42,900","Some High School: Forest and Conservation Workers - Logging Equipment Operators - Log Graders and Scalers - Logging Workers, All Other -"
"Farmworkers and laborers crop nursery and greenhouse","$23,820","any: Agricultural Inspectors - Animal Breeders - Graders and Sorters, Agricultural Products - Agricultural Equipment Operators - Farmworkers, Farm, Ranch, and Aquacultural Animals - Agricultural Workers, All Other -"
"Farmworkers farm ranch and aquacultural animals","$26,840","Some College: Agricultural Inspectors - Animal Breeders - Graders and Sorters, Agricultural Products - Agricultural Equipment Operators - Farmworkers and Laborers, Crop, Nursery, and Greenhouse - Agricultural Workers, All Other -"
"First line supervisors of farming fishing and forestry workers","$48,820","any: Agricultural and Food Products Processing - Agricultural Business and Management, Other - Agricultural Production Operations, General - Agricultural Production Operations, Other - Agroecology and Sustainable Agriculture - Agronomy and Crop Science - Animal Sciences, General - Animal Sciences, Other - Animal/Livestock Husbandry and Production - Aquaculture - Crop Production - Dairy Husbandry and Production - Dairy Science - Farm/Farm and Ranch Management - Fishing and Fisheries Sciences and Management - Forest Resources Production and Management - Horse Husbandry/Equine Science and Management - Livestock Management - Plant Sciences, General - Poultry Science - Viticulture and Enology -"
"Forest and conservation workers","$31,200","Bachelor's Degree: Fallers - Logging Equipment Operators - Log Graders and Scalers - Logging Workers, All Other -"
"Graders and sorters agricultural products","$24,280","Some High School: Agricultural/Farm Supplies Retailing and Wholesaling -"
"Log graders and scalers","$38,150","High School Diploma: Forest and Conservation Workers - Fallers - Logging Equipment Operators - Logging Workers, All Other -"
"Logging equipment operators","$38,880","Some High School: Construction/Heavy Equipment/Earthmoving Equipment Operation -"
"Logging workers all other","$40,560","any: Forest and Conservation Workers - Fallers - Logging Equipment Operators - Log Graders and Scalers -"
"Baristas","$20,580","Some High School: Bartenders - Fast Food and Counter Workers - Waiters and Waitresses - Food Servers, Nonrestaurant -"
"Bartenders","$25,580","High School Diploma: Bartending/Bartender -"
"Chefs and head cooks","$47,390","Associate's Degree: Baking and Pastry Arts/Baker/Pastry Chef - Cooking and Related Culinary Arts, General - Culinary Arts/Chef Training - Culinary Science/Culinology - Restaurant, Culinary, and Catering Management/Manager -"
"Cooks all other","$29,210","any: Cooking and Related Culinary Arts, General - Culinary Arts/Chef Training - Culinary Science/Culinology - Food Preparation/Professional Cooking/Kitchen Assistant -"
"Cooks fast food","$20,570","High School Diploma: Cooks, Institution and Cafeteria - Cooks, Private Household - Cooks, Restaurant - Cooks, Short Order - Cooks, All Other - Food Preparation Workers -"
"Cooks institution and cafeteria","$26,370","High School Diploma: Cooking and Related Culinary Arts, General - Food Preparation/Professional Cooking/Kitchen Assistant - Foodservice Systems Administration/Management - Institutional Food Workers -"
"Cooks private household","$42,220","Post-Secondary Certificate: Culinary Arts/Chef Training - Food Preparation/Professional Cooking/Kitchen Assistant - Restaurant, Culinary, and Catering Management/Manager -"
"Cooks restaurant","$25,430","High School Diploma: Cooking and Related Culinary Arts, General - Culinary Arts/Chef Training -"
"Cooks short order","$23,130","High School Diploma: Cooks, Fast Food - Cooks, Institution and Cafeteria - Cooks, Private Household - Cooks, Restaurant - Cooks, All Other - Food Preparation Workers -"
"Dining room and cafeteria attendants and bartender helpers","$22,340","High School Diploma: Dishwashers - Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop - Food Preparation and Serving Related Workers, All Other -"
"Dishwashers","$21,260","Some High School: Dining Room and Cafeteria Attendants and Bartender Helpers - Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop - Food Preparation and Serving Related Workers, All Other -"
"First line supervisors of food preparation and serving workers","$34,700","High School Diploma: Cooking and Related Culinary Arts, General - Culinary Arts/Chef Training - Food Service, Waiter/Waitress, and Dining Room Management/Manager - Foodservice Systems Administration/Management - Restaurant, Culinary, and Catering Management/Manager -"
"Food preparation and serving related workers all other","$23,200","any: Dining Room and Cafeteria Attendants and Bartender Helpers - Dishwashers - Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop -"
"Food preparation workers","$22,920","High School Diploma: Cooks, Fast Food - Cooks, Institution and Cafeteria - Cooks, Private Household - Cooks, Restaurant - Cooks, Short Order - Cooks, All Other -"
"Food servers nonrestaurant","$23,490","High School Diploma: Bartenders - Fast Food and Counter Workers - Baristas - Waiters and Waitresses -"
"Hosts and hostesses restaurant lounge and coffee shop","$21,410","High School Diploma: Dining Room and Cafeteria Attendants and Bartender Helpers - Dishwashers - Food Preparation and Serving Related Workers, All Other -"
"Waiters and waitresses","$24,410","High School Diploma: Bartenders - Fast Food and Counter Workers - Baristas - Food Servers, Nonrestaurant -"
"Acute care nurses","$72,180","Associate's Degree: Adult Health Nurse/Nursing - Clinical Nurse Leader - Clinical Nurse Specialist - Critical Care Nursing - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nursing Administration - Nursing Practice - Nursing Science - Occupational and Environmental Health Nursing - Palliative Care Nursing - Pediatric Nurse/Nursing - Perioperative/Operating Room and Surgical Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Public Health/Community Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Registered Nursing/Registered Nurse - Women's Health Nurse/Nursing -"
"Advanced practice psychiatric nurses","$72,180","Master's Degree: Adult Health Nurse/Nursing - Clinical Nurse Leader - Clinical Nurse Specialist - Critical Care Nursing - Emergency Room/Trauma Nursing - Family Practice Nurse/Nursing - Geriatric Nurse/Nursing - Maternal/Child Health and Neonatal Nurse/Nursing - Nursing Administration - Nursing Practice - Nursing Science - Occupational and Environmental Health Nursing - Palliative Care Nursing - Pediatric Nurse/Nursing - Perioperative/Operating Room and Surgical Nurse/Nursing - Psychiatric/Mental Health Nurse/Nursing - Public Health/Community Nurse/Nursing - Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other - Registered Nursing/Registered Nurse - Women's Health Nurse/Nursing -"
"Anesthesiologist assistants","$102,090","Master's Degree: Physician Assistant -"
